iter	Passed	Remaining
582	4840	3462
583	4849	3454
584	4858	3446
585	4868	3439
586	4877	3431
587	4886	3424
588	4895	3415
589	4904	3408
590	4911	3398
591	4920	3391
592	4929	3383
593	4938	3375
594	4947	3367
595	4957	3360
596	4966	3352
597	4975	3344
598	4986	3338
599	4995	3330
600	5003	3321
601	5011	3313
602	5020	3305
603	5029	3297
604	5037	3288
605	5044	3279
606	5053	3271
607	5064	3265
608	5074	3258
609	5082	3249
610	5095	3243
611	5105	3236
612	5115	3229
613	5126	3222
614	5136	3215
615	5147	3208
616	5157	3201
617	5163	3191
618	5172	3183
619	5183	3177
620	5193	3169
621	5203	3162
622	5212	3154
623	5222	3147
624	5232	3139
625	5242	3132
626	5251	3123
627	5260	3115
628	5268	3107
629	5276	3098
630	5288	3092
631	5295	3083
632	5305	3076
633	5315	3068
634	5323	3059
635	5331	3051
636	5341	3043
637	5351	3036
638	5359	3027
639	5368	3019
640	5377	3011
641	5387	3004
642	5394	2994
643	5404	2987
644	5414	2979
645	5424	2972
646	5433	2964
647	5443	2956
648	5454	2949
649	5462	2941
650	5472	2934
651	5482	2926
652	5491	2918
653	5500	2910
654	5509	2902
655	5520	2894
656	5528	2886
657	5538	2878
658	5548	2871
659	5558	2863
660	5567	2855
661	5577	2847
662	5589	2840
663	5600	2834
664	5607	2825
665	5618	2817
666	5628	2809
667	5637	2801
668	5645	2793
669	5654	2785
670	5667	2778
671	5675	2770
672	5683	2761
673	5692	2753
674	5703	2745
675	5712	2738
676	5721	2729
677	5731	2722
678	5742	2714
679	5751	2706
680	5759	2697
681	5768	2689
682	5778	2681
683	5785	2672
684	5794	2664
685	5803	2656
686	5811	2647
687	5819	2639
688	5828	2630
689	5836	2622
690	5845	2613
691	5853	2605
692	5861	2596
693	5872	2589
694	5882	2581
695	5894	2574
696	5903	2566
697	5913	2558
698	5922	2550
699	5933	2542
700	5943	2534
701	5953	2527
702	5961	2518
703	5970	2510
704	5979	2502
705	5987	2493
706	5996	2485
707	6006	2477
708	6013	2468
709	6023	2460
710	6030	2451
711	6039	2442
712	6046	2433
713	6054	2425
714	6063	2416
715	6073	2409
716	6083	2400
717	6091	2392
718	6100	2384
719	6108	2375
720	6117	2367
721	6126	2358
722	6135	2350
723	6143	2342
724	6153	2334
725	6161	2325
726	6171	2317
727	6180	2309
728	6189	2301
729	6198	2292
730	6207	2284
731	6217	2276
732	6228	2268
733	6237	2260
734	6244	2251
735	6252	2242
736	6263	2235
737	6272	2226
738	6281	2218
739	6289	2209
740	6298	2201
741	6308	2193
742	6317	2185
743	6326	2176
744	6336	2168
745	6346	2160
746	6354	2152
747	6364	2144
748	6376	2136
749	6386	2128
750	6396	2120
751	6406	2112
752	6416	2104
753	6427	2096
754	6437	2089
755	6447	2080
756	6457	2072
757	6466	2064
758	6476	2056
759	6486	2048
760	6495	2040
761	6506	2032
762	6516	2024
763	6527	2016
764	6535	2007
765	6543	1998
766	6552	1990
767	6560	1981
768	6569	1973
769	6578	1964
770	6587	1956
771	6595	1947
772	6604	1939
773	6613	1931
774	6623	1923
775	6633	1914
776	6640	1905
777	6649	1897
778	6657	1888
779	6665	1879
780	6674	1871
781	6683	1863
782	6692	1854
783	6701	1846
784	6709	1837
785	6717	1828
786	6726	1820
787	6734	1811
788	6741	1802
789	6750	1794
790	6759	1785
791	6768	1777
792	6777	1769
793	6786	1760
794	6795	1752
795	6803	1743
796	6814	1735
797	6822	1727
798	6832	1718
799	6841	1710
800	6850	1701
801	6857	1693
802	6867	1684
803	6876	1676
804	6887	1668
805	6897	1660
806	6906	1651
807	6915	1643
808	6925	1635
809	6935	1626
810	6944	1618
811	6954	1610
812	6963	1601
813	6973	1593
814	6981	1584
815	6991	1576
816	7003	1568
817	7011	1560
818	7020	1551
819	7029	1543
820	7038	1534
821	7048	1526
822	7056	1517
823	7065	1509
824	7074	1500
825	7084	1492
826	7093	1483
827	7103	1475
828	7112	1467
829	7120	1458
830	7128	1449
831	7138	1441
832	7146	1432
833	7155	1424
834	7164	1415
835	7173	1407
836	7182	1398
837	7190	1390
838	7199	1381
839	7208	1372
840	7215	1364
841	7223	1355
842	7231	1346
843	7240	1338
844	7248	1329
845	7256	1320
846	7264	1312
847	7273	1303
848	7282	1295
849	7291	1286
850	7299	1277
851	7309	1269
852	7318	1261
853	7326	1252
854	7337	1244
855	7345	1235
856	7352	1226
857	7362	1218
858	7371	1209
859	7381	1201
860	7389	1192
861	7398	1184
862	7406	1175
863	7415	1167
864	7424	1158
865	7432	1150
866	7440	1141
867	7448	1132
868	7456	1124
869	7465	1115
870	7474	1107
